date_col,P0141-CPT00000
2008-01-01,41.8
2008-02-01,41.9
2008-03-01,42.5
2008-04-01,42.8
2008-05-01,43.1
2008-06-01,43.7
2008-07-01,44.4
2008-08-01,44.7
2008-09-01,44.9
2008-10-01,45.1
2008-11-01,45.1
2008-12-01,45
2009-01-01,45.3
2009-02-01,45.7
2009-03-01,46.4
2009-04-01,46.6
2009-05-01,46.7
2009-06-01,46.9
2009-07-01,47.3
2009-08-01,47.5
2009-09-01,47.6
2009-10-01,47.6
2009-11-01,47.6
2009-12-01,47.8
2010-01-01,47.9
2010-02-01,48.2
2010-03-01,48.6
2010-04-01,48.6
2010-05-01,48.7
2010-06-01,48.7
2010-07-01,49.1
2010-08-01,49.1
2010-09-01,49.1
2010-10-01,49.2
2010-11-01,49.3
2010-12-01,49.4
2011-01-01,49.7
2011-02-01,49.9
2011-03-01,50.5
2011-04-01,50.7
2011-05-01,50.9
2011-06-01,51.2
2011-07-01,51.6
2011-08-01,51.6
2011-09-01,52
2011-10-01,52.3
2011-11-01,52.3
2011-12-01,52.5
2012-01-01,52.7
2012-02-01,53
2012-03-01,53.6
2012-04-01,53.9
2012-05-01,53.9
2012-06-01,54.1
2012-07-01,54.1
2012-08-01,54.4
2012-09-01,54.8
2012-10-01,55.2
2012-11-01,55.3
2012-12-01,55.5
2013-01-01,55.7
2013-02-01,56.2
2013-03-01,56.9
2013-04-01,57
2013-05-01,56.9
2013-06-01,57
2013-07-01,57.6
2013-08-01,57.8
2013-09-01,58.1
2013-10-01,58.2
2013-11-01,58.3
2013-12-01,58.4
2014-01-01,58.8
2014-02-01,59.5
2014-03-01,60.2
2014-04-01,60.6
2014-05-01,60.7
2014-06-01,60.9
2014-07-01,61.4
2014-08-01,61.6
2014-09-01,61.6
2014-10-01,61.7
2014-11-01,61.7
2014-12-01,61.6
2015-01-01,61.5
2015-02-01,61.9
2015-03-01,62.7
2015-04-01,63.3
2015-05-01,63.4
2015-06-01,63.7
2015-07-01,64.3
2015-08-01,64.3
2015-09-01,64.3
2015-10-01,64.5
2015-11-01,64.6
2015-12-01,64.8
2016-01-01,65.3
2016-02-01,66.2
2016-03-01,66.8
2016-04-01,67.4
2016-05-01,67.5
2016-06-01,67.9
2016-07-01,68.5
2016-08-01,68.4
2016-09-01,68.5
2016-10-01,68.8
2016-11-01,69.1
2016-12-01,69.3
2017-01-01,69.8
2017-02-01,70.5
2017-03-01,70.9
2017-04-01,71
2017-05-01,71.1
2017-06-01,71.3
2017-07-01,71.4
2017-08-01,71.5
2017-09-01,71.8
2017-10-01,72.1
2017-11-01,72.1
2017-12-01,72.4
2018-01-01,72.8
2018-02-01,73.2
2018-03-01,73.5
2018-04-01,74
2018-05-01,74.2
2018-06-01,74.4
2018-07-01,75
2018-08-01,74.9
2018-09-01,75.3
2018-10-01,75.7
2018-11-01,75.8
2018-12-01,75.7
2019-01-01,75.6
2019-02-01,76.2
2019-03-01,76.8
2019-04-01,77.2
2019-05-01,77.5
2019-06-01,77.7
2019-07-01,78
2019-08-01,78.2
2019-09-01,78.4
2019-10-01,78.4
2019-11-01,78.5
2019-12-01,78.7
2020-01-01,78.9
2020-02-01,79.6
2020-03-01,80
2020-04-01,79.5
2020-05-01,79
2020-06-01,79.4
2020-07-01,80.5
2020-08-01,80.6
2020-09-01,80.7
2020-10-01,81
2020-11-01,81
2020-12-01,81.1
2021-01-01,81.4
2021-02-01,82
2021-03-01,82.5
2021-04-01,83.1
2021-05-01,83.2
2021-06-01,83.4
2021-07-01,84.3
2021-08-01,84.6
2021-09-01,84.8
2021-10-01,85.1
2021-11-01,85.4
2021-12-01,85.9
2022-01-01,86.1
2022-02-01,86.6
2022-03-01,87.5
2022-04-01,88.1
2022-05-01,88.7
2022-06-01,89.6
2022-07-01,91.1
2022-08-01,91.3
2022-09-01,91.4
2022-10-01,91.7
2022-11-01,92
2022-12-01,92.4
2023-01-01,92.3
2023-02-01,93
2023-03-01,93.9
2023-04-01,94.3
2023-05-01,94.5
2023-06-01,94.7
2023-07-01,95.4
2023-08-01,95.7
2023-09-01,96.4
2023-10-01,97.3
2023-11-01,97.2
2023-12-01,97.2
2024-01-01,97.3
2024-02-01,98.1
2024-03-01,98.9
2024-04-01,99.1
2024-05-01,99.3
2024-06-01,99.4
2024-07-01,99.8
2024-08-01,99.9
2024-09-01,100
2024-10-01,100
2024-11-01,99.9
2024-12-01,100
2025-01-01,100.3
2025-02-01,101.2
2025-03-01,101.6
2025-04-01,101.9
2025-05-01,102.1
2025-06-01,102.4
2025-07-01,103.3
2025-08-01,103.2
2025-09-01,103.4
2025-10-01,103.5
2025-11-01,103.4
2025-12-01,103.6
2026-01-01,103.7
2026-02-01,104.1
2026-03-01,104.6
2026-04-01,105.8
2026-05-01,106.6
