date_col,KBP5010L
1960-01-01,335
1960-04-01,245
1960-07-01,220
1960-10-01,280
1961-01-01,337
1961-04-01,343
1961-07-01,489
1961-10-01,611
1962-01-01,566
1962-04-01,692
1962-07-01,504
1962-10-01,354
1963-01-01,372
1963-04-01,422
1963-07-01,397
1963-10-01,377
1964-01-01,280
1964-04-01,300
1964-07-01,175
1964-10-01,25
1965-01-01,-9
1965-04-01,-179
1965-07-01,-119
1965-10-01,323
1966-01-01,238
1966-04-01,412
1966-07-01,304
1966-10-01,86
1967-01-01,-62
1967-04-01,-46
1967-07-01,123
1967-10-01,453
1968-01-01,440
1968-04-01,459
1968-07-01,398
1968-10-01,303
1969-01-01,561
1969-04-01,152
1969-07-01,-13
1969-10-01,8
1970-01-01,-73
1970-04-01,-236
1970-07-01,-335
1970-10-01,-500
1971-01-01,-782
1971-04-01,-390
1971-07-01,-426
1971-10-01,-66
1972-01-01,145
1972-04-01,433
1972-07-01,764
1972-10-01,794
1973-01-01,894
1973-04-01,794
1973-07-01,613
1973-10-01,271
1974-01-01,698
1974-04-01,171
1974-07-01,-413
1974-10-01,-280
1975-01-01,-428
1975-04-01,-308
1975-07-01,-642
1975-10-01,-262
1976-01-01,-937
1976-04-01,-555
1976-07-01,501
1976-10-01,287
1977-01-01,1471
1977-04-01,2265
1977-07-01,1631
1977-10-01,2793
1978-01-01,3239
1978-04-01,2211
1978-07-01,3719
1978-10-01,2843
1979-01-01,5949
1979-04-01,2964
1979-07-01,4123
1979-10-01,6100
1980-01-01,10864
1980-04-01,3138
1980-07-01,5236
1980-10-01,3446
1981-01-01,2169
1981-04-01,-1566
1981-07-01,-1665
1981-10-01,-138
1982-01-01,-2975
1982-04-01,-1460
1982-07-01,2135
1982-10-01,5596
1983-01-01,6313
1983-04-01,5553
1983-07-01,5114
1983-10-01,1052
1984-01-01,2500
1984-04-01,2116
1984-07-01,2532
1984-10-01,5388
1985-01-01,8902
1985-04-01,11950
1985-07-01,11874
1985-10-01,16862
1986-01-01,11874
1986-04-01,16519
1986-07-01,16202
1986-10-01,15269
1987-01-01,18454
1987-04-01,16116
1987-07-01,20724
1987-10-01,20490
1988-01-01,12297
1988-04-01,11858
1988-07-01,22360
1988-10-01,15605
1989-01-01,10387
1989-04-01,12818
1989-07-01,18204
1989-10-01,16819
1990-01-01,15789
1990-04-01,17030
1990-07-01,13365
1990-10-01,20764
1991-01-01,10043
1991-04-01,19546
1991-07-01,11680
1991-10-01,22479
1992-01-01,21122
1992-04-01,17843
1992-07-01,17934
1992-10-01,14733
1993-01-01,23607
1993-04-01,23949
1993-07-01,19877
1993-10-01,30863
1994-01-01,21284
1994-04-01,15286
1994-07-01,11737
1994-10-01,14017
1995-01-01,8685
1995-04-01,-1012
1995-07-01,14697
1995-10-01,12186
1996-01-01,9937
1996-04-01,7960
1996-07-01,18551
1996-10-01,13140
1997-01-01,8934
1997-04-01,9409
1997-07-01,13749
1997-10-01,10848
1998-01-01,17485
1998-04-01,15749
1998-07-01,4900
1998-10-01,2098
1999-01-01,37828
1999-04-01,19310
1999-07-01,22839
1999-10-01,17883
2000-01-01,29189
2000-04-01,32236
2000-07-01,27971
2000-10-01,41204
2001-01-01,43240
2001-04-01,50273
2001-07-01,39388
2001-10-01,45487
2002-01-01,49679
2002-04-01,56187
2002-07-01,47140
2002-10-01,47982
2003-01-01,39791
2003-04-01,26432
2003-07-01,28447
2003-10-01,12058
2004-01-01,17943
2004-04-01,-7442
2004-07-01,-2491
2004-10-01,-12946
2005-01-01,-6779
2005-04-01,11109
2005-07-01,-9347
2005-10-01,-2987
2006-01-01,-9160
2006-04-01,-19750
2006-07-01,-5035
2006-10-01,-63103
2007-01-01,9134
2007-04-01,-32832
2007-07-01,-43448
2007-10-01,-5638
2008-01-01,-11994
2008-04-01,-19902
2008-07-01,-30547
2008-10-01,4351
2009-01-01,2451
2009-04-01,41886
2009-07-01,43222
2009-10-01,24857
2010-01-01,29102
2010-04-01,51471
2010-07-01,52860
2010-10-01,101667
2011-01-01,62458
2011-04-01,64715
2011-07-01,53606
2011-10-01,8221
2012-01-01,-11740
2012-04-01,-34985
2012-07-01,-55227
2012-10-01,-57059
2013-01-01,-54779
2013-04-01,-83625
2013-07-01,-106257
2013-10-01,-49424
2014-01-01,-72894
2014-04-01,-91525
2014-07-01,-58065
2014-10-01,-28381
2015-01-01,-54641
2015-04-01,-17847
2015-07-01,-60398
2015-10-01,-87973
2016-01-01,-20493
2016-04-01,54476
2016-07-01,31285
2016-10-01,37527
2017-01-01,50330
2017-04-01,46638
2017-07-01,80778
2017-10-01,58116
2018-01-01,14292
2018-04-01,36904
2018-07-01,10905
2018-10-01,43469
2019-01-01,35498
2019-04-01,-12119
2019-07-01,36243
2019-10-01,86960
2020-01-01,198737
2020-04-01,94744
2020-07-01,467623
2020-10-01,395676
2021-01-01,450307
2021-04-01,577090
2021-07-01,440814
2021-10-01,338353
2022-01-01,382858
2022-04-01,255268
2022-07-01,233557
2022-10-01,60823
2023-01-01,154511
2023-04-01,55880
2023-07-01,222176
2023-10-01,125783
2024-01-01,207641
2024-04-01,225554
2024-07-01,197622
2024-10-01,226407
2025-01-01,212070
2025-04-01,185059
2025-07-01,168970
2025-10-01,282238
2026-01-01,437899
